address,benefits,destination,image_urls,images,link,name,rating,rooms,star
"An Son Hamlet, Hoa Ninh Commune, Hoa Vang Dist, Đà Nẵng, Việt Nam","
Bao bữa sáng
",Booking.com,https://r-cf.bstatic.com/xdata/images/hotel/square200/194826391.jpg?k=01c014fedc48b0e75b2eae939feb3e48ed23c0f6d897705e9d90da221996f275&o=,"[{'url': 'https://r-cf.bstatic.com/xdata/images/hotel/square200/194826391.jpg?k=01c014fedc48b0e75b2eae939feb3e48ed23c0f6d897705e9d90da221996f275&o=', 'path': 'full/ab1437f2dc1b690974fd76f4de7bf00c2c2f7624.jpg', 'checksum': '3830a24fb085417904e0c77644c9f398'}]","https://www.booking.com/hotel/vn/french-village-ba-na-hills-mountain-resort.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=139557309_121940993_2_41_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=1&highlighted_blocks=139557309_121940993_2_41_0&hpos=1&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Mercure Danang French Village Bana Hills,"8,2","[{'room_type': 'Phòng Deluxe có giường cỡ King', 'price_per_night': 'VND\xa02.878.454'}]",Khách sạn 4 sao
"04-05 Trần Bạch Đằng, Phường Bắc Mỹ phú, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng, Đà Nẵng, Việt Nam","
Bao bữa sáng
,
Miễn Phí hủy phòng
,
Không cần thanh toán trước
",Booking.com,https://r-cf.bstatic.com/xdata/images/hotel/square200/178324918.jpg?k=cfd15510bc6a541dfcfe1f7230092fd7c951f0f757771a9be18bddae1a9c0dab&o=,"[{'url': 'https://r-cf.bstatic.com/xdata/images/hotel/square200/178324918.jpg?k=cfd15510bc6a541dfcfe1f7230092fd7c951f0f757771a9be18bddae1a9c0dab&o=', 'path': 'full/cc5342d8ce68a0ded3bff787ff74789483835e1a.jpg', 'checksum': '7cd372aa3bc513a23f8f9001b587d77c'}]","https://www.booking.com/hotel/vn/chill-suites-danang-beach.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=411373704_132135276_2_1_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=7&highlighted_blocks=411373704_132135276_2_1_0&hpos=7&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Chill Suites Danang-Beach,"8,9","[{'room_type': 'Phòng Tiêu chuẩn có giường cỡ Queen', 'price_per_night': 'VND\xa0520.000'}]",Khách sạn 2 sao
"19 Truong Sa, Hoa Hai Ward, Ngu Hanh Son, Đà Nẵng, Việt Nam","
Bao bữa sáng
",Booking.com,https://r-cf.bstatic.com/xdata/images/hotel/square200/182827023.jpg?k=9b787addc0a322b6d70d1f8ca7bd46d4b7cda605352a306f502edb9e6d5605db&o=,"[{'url': 'https://r-cf.bstatic.com/xdata/images/hotel/square200/182827023.jpg?k=9b787addc0a322b6d70d1f8ca7bd46d4b7cda605352a306f502edb9e6d5605db&o=', 'path': 'full/838ea069379dc803d728c56a335662e6643ace8d.jpg', 'checksum': 'ff82420d9918af90940109fab81476fb'}]","https://www.booking.com/hotel/vn/melia-danang.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=101279504_139430536_0_1_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=4&highlighted_blocks=101279504_139430536_0_1_0&hpos=4&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Melia Danang,"8,5","[{'room_type': 'Phòng Meliá - Phòng Giường Đôi', 'price_per_night': 'VND\xa02.516.386'}]",5 sao
"292 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam","
Miễn Phí hủy phòng
,
Không cần thanh toán trước
",Booking.com,https://q-cf.bstatic.com/xdata/images/hotel/square200/164412295.jpg?k=24c308b142039acecb293b7e13e8948bc5d9b82f9fc5834287125c0787751eaf&o=,"[{'url': 'https://q-cf.bstatic.com/xdata/images/hotel/square200/164412295.jpg?k=24c308b142039acecb293b7e13e8948bc5d9b82f9fc5834287125c0787751eaf&o=', 'path': 'full/e379aea21df09a0c6c0f25d8c1945ecf9af3ec3f.jpg', 'checksum': 'ac86ae22f3c809ab305bea7aa1dc943a'}]","https://www.booking.com/hotel/vn/tms-luxury-danang-beach.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=392801804_128465554_0_2_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=6&highlighted_blocks=392801804_128465554_0_2_0&hpos=6&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",TMS Hotel Da Nang Beach,"9,2","[{'room_type': 'Suite Premier Giường Đôi Nhìn Ra Cảnh Thành Phố', 'price_per_night': 'VND\xa02.070.000'}]",Khách sạn 5 sao
"120 Nguyễn Văn Thoại Bac My An ward, Ngu Hanh Son district, Đà Nẵng, Việt Nam","
Miễn Phí hủy phòng
",Booking.com,https://r-cf.bstatic.com/xdata/images/hotel/square200/113332334.jpg?k=42a9fa1ec83ff5331ef30bb79378083776bfdec17a85ca5e16c45f4f953ef110&o=,"[{'url': 'https://r-cf.bstatic.com/xdata/images/hotel/square200/113332334.jpg?k=42a9fa1ec83ff5331ef30bb79378083776bfdec17a85ca5e16c45f4f953ef110&o=', 'path': 'full/9e159362c7e6b4e8c5b01072c0c1c11ca3a59fe3.jpg', 'checksum': 'c85682170db748bf3e3b190f8e9e3b60'}]","https://www.booking.com/hotel/vn/risemount-resort-danang.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=199699225_158791538_0_34_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=13&highlighted_blocks=199699225_158791538_0_34_0&hpos=13&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Risemount Resort Danang,"8,7","[{'room_type': 'Phòng Tiêu chuẩn 2 Giường Đơn', 'price_per_night': 'VND\xa01.485.000'}]",5 sao
"101 Vo Nguyen Giap Street, Khue My Ward, Ngu Hanh Son District, Da Nang, Vietnam, Đà Nẵng, Việt Nam",,Booking.com,https://q-cf.bstatic.com/xdata/images/hotel/square200/97548427.jpg?k=2cd9ac15ef92df0999a34073047e37a12d0f19e2431172a80cb605f8667d9586&o=,"[{'url': 'https://q-cf.bstatic.com/xdata/images/hotel/square200/97548427.jpg?k=2cd9ac15ef92df0999a34073047e37a12d0f19e2431172a80cb605f8667d9586&o=', 'path': 'full/6b7f7a64f1a0c47f981f202a7969cb92642e8721.jpg', 'checksum': 'c211e897054f3f1b15b0efea86f39d90'}]","https://www.booking.com/hotel/vn/danang-beach-resort.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=26522001_121940238_2_2_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=2&highlighted_blocks=26522001_121940238_2_2_0&hpos=2&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_getaway19_customer_label=1#hotelTmpl",Pullman Danang Beach Resort,"9,0","[{'room_type': 'Phòng Superior Giường Đôi với Ban công', 'price_per_night': 'VND\xa03.631.320'}]",5 sao
"21 Truong Sa, Hoa Hai Ward, Ngu Hanh Son District, 5000 Đà Nẵng, Việt Nam",,Booking.com,https://q-cf.bstatic.com/xdata/images/hotel/square200/170390320.jpg?k=3ce3ae6fdffd365422b6b8afa6c7235ab1bff9f3bd7420c3b67c9a8f1f484966&o=,"[{'url': 'https://q-cf.bstatic.com/xdata/images/hotel/square200/170390320.jpg?k=3ce3ae6fdffd365422b6b8afa6c7235ab1bff9f3bd7420c3b67c9a8f1f484966&o=', 'path': 'full/d91397852c0522a3a7fa0e5566fdbdf48eb2541f.jpg', 'checksum': '2a3a9090dfd4a4cecddbe132881761bb'}]","https://www.booking.com/hotel/vn/sandy-beach-non-nuoc-resort.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=27776603_121937260_0_2_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=5&highlighted_blocks=27776603_121937260_0_2_0&hpos=5&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Centara Sandy Beach Resort Danang,"8,3","[{'room_type': 'Bungalow Nhìn ra vườn', 'price_per_night': 'VND\xa01.756.328'}]",4 sao
"Trần Bạch Đằng 43, Đà Nẵng, Việt Nam","
Miễn Phí hủy phòng
,
Không cần thanh toán trước
",Booking.com,https://q-cf.bstatic.com/xdata/images/hotel/square200/149827328.jpg?k=6fd5ef164ba4d05382d3bcdf129fc4ff2cda542f26ce1767642b1e18a82164cc&o=,"[{'url': 'https://q-cf.bstatic.com/xdata/images/hotel/square200/149827328.jpg?k=6fd5ef164ba4d05382d3bcdf129fc4ff2cda542f26ce1767642b1e18a82164cc&o=', 'path': 'full/a496916427bda208fd0440a497d301aa9ddfa5d7.jpg', 'checksum': '35eff571ca9788ec2a94a0bed70caebe'}]","https://www.booking.com/hotel/vn/kaluga.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=364905203_125376250_2_0_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=9&highlighted_blocks=364905203_125376250_2_0_0&hpos=9&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Kaluga Hotel,"8,3","[{'room_type': 'Phòng Tiêu Chuẩn Có Giường Cỡ King', 'price_per_night': 'VND\xa0419.864'}]",Khách sạn 2 sao
"769 Đương Nguyễn Tất Thành 769 Nguyễn Tất Thành Đà Nẵng, Đà Nẵng, Việt Nam","
Bao bữa sáng
,
Miễn Phí hủy phòng
,
Không cần thanh toán trước
",Booking.com,https://q-cf.bstatic.com/xdata/images/hotel/square200/174754659.jpg?k=40473a456d7608d6db1fc4d5f6e72377f105fc5dbb81c0b820a603712f8dfe05&o=,"[{'url': 'https://q-cf.bstatic.com/xdata/images/hotel/square200/174754659.jpg?k=40473a456d7608d6db1fc4d5f6e72377f105fc5dbb81c0b820a603712f8dfe05&o=', 'path': 'full/fe11fc404b12f1f49a55dc80457dda4e245010c4.jpg', 'checksum': 'e88968f9c71be5421d4b70568afc1f01'}]","https://www.booking.com/hotel/vn/santori-boutique-amp-apartment.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=381270503_125377450_0_1_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=11&highlighted_blocks=381270503_125377450_0_1_0&hpos=11&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Santori Hotel Da Nang Bay,"8,9","[{'room_type': 'Phòng Deluxe', 'price_per_night': 'VND\xa0693.000'}]",
"Ngo Quyen, Đà Nẵng, Việt Nam",,Booking.com,https://r-cf.bstatic.com/xdata/images/hotel/square200/145051238.jpg?k=50db3b86e42c283ee1f86237b08867d7f873a7bec8a669996e6406c53ab16735&o=,"[{'url': 'https://r-cf.bstatic.com/xdata/images/hotel/square200/145051238.jpg?k=50db3b86e42c283ee1f86237b08867d7f873a7bec8a669996e6406c53ab16735&o=', 'path': 'full/8a7fe59bc747602bcfd9ba51d25cbbac496833d8.jpg', 'checksum': '3aff0385e99781495b199b4f0093b367'}]","https://www.booking.com/hotel/vn/vinpearl-condotel-riverfont-da-nang.vi.html?aid=398480&label=metatrivago-hotel-426918_xqdz-66a478a6363b883e5fe2a7108e907955_los-1_nrm-1_gstadt-2_gstkid-0_curr-vnd_lang-vi_itt-0_trvlp-a_losb-losb1_bw-17_bwb-bwb15_trvbm-a_split-00000a_defdate-0&sid=b49e2ec0d108d59f8794417497282d2c&all_sr_blocks=345716101_125380731_2_2_0&checkin=2019-05-23&checkout=2019-05-24&dest_id=-3712125&dest_type=city&hapos=8&highlighted_blocks=345716101_125380731_2_2_0&hpos=8&sr_order=popularity&srepoch=1557326142&srpvid=f5ea669eacff000e&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Vinpearl Condotel Riverfront Da Nang,"9,3","[{'room_type': 'Phòng Studio Đôi', 'price_per_night': 'VND\xa02.241.000'}]",Khách sạn 5 sao
