address,benefits,destination,image_urls,images,link,name,rating,rooms,star
"170 Bạch Đằng, Đà Nẵng, VNM","33 khu phòng,Nhà hàng và quầy bar/khu lounge,Sân thượng,Trung tâm dịch vụ văn phòng phục vụ 24 giờ,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Máy vi tính,Két an toàn ở quầy tiếp tân,Lò vi sóng ở khu vực chung,Dịch vụ giặt ủi,Nhân viên thông thạo nhiều ngôn ngữ,Bữa sáng buffet miễn phí, Wifi miễn phí và chỗ đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/18000000/17810000/17804100/17804096/158e54f1_b.jpg,,https://vi.hotels.com/ho677167/?pa=1&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Avora,,"[{'room_type': 'Phòng Deluxe, Quang cảnh thành phố', 'room_size': 'Tối đa 3 người', 'price_per_night': '909.091 ₫'}, {'room_type': 'Phòng Suite Grand', 'room_size': 'Tối đa 3 người', 'price_per_night': '1.363.637 ₫'}, {'room_type': 'Phòng Suite', 'room_size': 'Tối đa 4 người', 'price_per_night': '1.645.022 ₫'}]","3,5 sao"
"288 Võ Nguyên Giáp, Mỹ An, Q.Ngũ Hành Sơn, Đà Nẵng, VNM","215 khu phòng,3 nhà hàng và 2 quầy bar/khu lounge,Khu spa với đầy đủ các liệu pháp,Hồ bơi ngoài trời,Trung tâm thể dục,Trung tâm dịch vụ văn phòng phục vụ 24 giờ,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Nhân viên thông thạo nhiều ngôn ngữ,Bữa sáng đặc sản địa phương miễn phí, Wifi miễn phí và chỗ đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/25000000/24300000/24294000/24293992/bb684957_b.jpg,,https://vi.hotels.com/ho778407744/?pa=5&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Balcona Đà Nẵng,,"[{'room_type': 'Balcony Superior Double', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.526.714 ₫'}, {'room_type': 'Balcony Superior Twin', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.526.714 ₫'}, {'room_type': 'Balcony Deluxe Double', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.599.415 ₫'}, {'room_type': 'Balcony Deluxe Twin', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.599.415 ₫'}, {'room_type': 'Balcony Premier Double', 'room_size': 'Tối đa 2 người', 'price_per_night': '2.118.259 ₫'}, {'room_type': 'Grand Premium', 'room_size': 'Tối đa 2 người', 'price_per_night': '2.239.303 ₫'}, {'room_type': 'Balcony Triple City View', 'room_size': 'Tối đa 3 người', 'price_per_night': '2.362.771 ₫'}, {'room_type': 'Phòng đôi Premier, Ban công, Quang cảnh biển (Executive)', 'room_size': 'Tối đa 3 người', 'price_per_night': '2.483.939 ₫'}, {'room_type': 'Balcony Triple Sea Front', 'room_size': 'Tối đa 3 người', 'price_per_night': '2.735.580 ₫'}, {'room_type': 'Studio, 2 phòng ngủ, Cạnh bãi biển', 'room_size': 'Tối đa 3 người', 'price_per_night': '3.756.200 ₫'}, {'room_type': 'Studio trung tâm thành phố, 1 phòng ngủ', 'room_size': 'Tối đa 3 người', 'price_per_night': '3.756.200 ₫'}]",4 sao
"35 Ngô Quyền, P.6, Đà Lạt, Lâm Đồng, VNM","12 khu phòng không khói thuốc,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Báo miễn phí ở sảnh,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,TV ở khu vực chung,Wifi miễn phí và đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/36000000/35200000/35191500/35191476/7f502e6b_b.jpg,,https://vi.hotels.com/ho1127127232/?pa=1&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Hoàng Tuấn,,"[{'room_type': 'Phòng đôi Superior', 'room_size': 'Tối đa 3 người', 'price_per_night': '216.450 ₫'}, {'room_type': 'Phòng đôi Deluxe', 'room_size': 'Tối đa 3 người', 'price_per_night': '303.030 ₫'}, {'room_type': 'Deluxe Family Room', 'room_size': 'Tối đa 5 người', 'price_per_night': '476.190 ₫'}]","2,5 sao"
"21-23 Hoàng Diệu, P.Phước Ninh, Q.Hải Châu, Đà Nẵng, VNM","35 khu phòng,Nhà hàng,Hồ bơi ngoài trời,Sân thượng,Xe đạp miễn phí,Dịch vụ spa,Trung tâm dịch vụ văn phòng,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Wifi miễn phí và đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/20000000/19470000/19461100/19461049/eb14b217_b.jpg,,https://vi.hotels.com/ho623753568/?pa=4&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Central Hotel & Spa,,"[{'room_type': 'Phòng 2 giường đơn Superior', 'room_size': 'Tối đa 2 người', 'price_per_night': '733.339 ₫'}, {'room_type': 'Phòng 2 giường đơn Deluxe', 'room_size': 'Tối đa 2 người', 'price_per_night': '811.911 ₫'}, {'room_type': 'Phòng Suite', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.111.504 ₫'}, {'room_type': 'Penthouse', 'room_size': 'Tối đa 2 người', 'price_per_night': '1.501.486 ₫'}]","3,5 sao"
"Lô 08-KQH Trần Lê, Đà Lạt, VNM","10 khu phòng không khói thuốc,Phục vụ bữa sáng,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Dịch vụ dọn phòng hàng ngày,Máy giặt tự động,Dịch vụ trông giữ/bảo quản hành lý,Wifi miễn phí và đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/36000000/35210000/35209200/35209150/f9472830_b.jpg,,https://vi.hotels.com/ho1127692800/?pa=2&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Hoàng Phong,,"[{'room_type': 'Phòng Economy', 'room_size': 'Tối đa 2 người', 'price_per_night': '220.779 ₫'}, {'room_type': 'Phòng Premier, Ban công', 'room_size': 'Tối đa 2 người', 'price_per_night': '257.143 ₫'}, {'room_type': 'Phòng đôi Premium', 'room_size': 'Tối đa 4 người', 'price_per_night': '303.030 ₫'}, {'room_type': 'Phòng 4 dành cho gia đình, Quang cảnh núi', 'room_size': 'Tối đa 8 người', 'price_per_night': '606.061 ₫'}]",2 sao
"275 Nguyễn Tri Phương, Hải Châu, Đà Nẵng, VNM","34 khu phòng không khói thuốc,Nhà hàng và quầy bar/khu lounge,Trung tâm hội nghị,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Wifi miễn phí và đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/19000000/18370000/18363900/18363900/04d1220a_b.jpg,,https://vi.hotels.com/ho693137/?pa=7&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Red Palace Hotel,,"[{'room_type': 'Phòng đôi Superior', 'room_size': 'Tối đa 3 người', 'price_per_night': '432.900 ₫'}, {'room_type': 'Phòng 2 giường đơn Deluxe', 'room_size': 'Tối đa 5 người', 'price_per_night': '519.481 ₫'}]",3 sao
"234 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng, VNM","25 khu phòng,Nhà hàng,Phục vụ bữa sáng,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Nhân viên khiêng hành lý/hỗ trợ khách,Wifi miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/23000000/22270000/22263500/22263435/fb88c169_b.jpg,,https://vi.hotels.com/ho713429920/?pa=6&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Kingdom Hotel,,"[{'room_type': 'Phòng 2 giường đơn Superior', 'room_size': 'Tối đa 2 người', 'price_per_night': '318.216 ₫'}, {'room_type': 'Phòng đôi Superior', 'room_size': 'Tối đa 2 người', 'price_per_night': '318.216 ₫'}, {'room_type': 'Phòng Deluxe', 'room_size': 'Tối đa 2 người', 'price_per_night': '477.922 ₫'}, {'room_type': 'Phòng Deluxe, 1 giường cỡ queen', 'room_size': 'Tối đa 2 người', 'price_per_night': '477.922 ₫'}, {'room_type': 'Phòng Deluxe', 'room_size': 'Tối đa 3 người', 'price_per_night': '557.576 ₫'}, {'room_type': 'Phòng Tiêu chuẩn', 'room_size': 'Tối đa 5 người', 'price_per_night': '657.143 ₫'}, {'room_type': 'Căn hộ', 'room_size': 'Tối đa 5 người', 'price_per_night': '2.683.983 ₫'}]","3,5 sao"
"3/12 Bà Triệu, P.1, Đà Lạt, Lâm Đồng, VNM","30 khu phòng,Xe đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Dịch vụ dọn phòng hàng ngày,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Wifi miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/35000000/34880000/34879600/34879569/d6261018_b.jpg,,https://vi.hotels.com/ho1117146208/?pa=4&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Minh Quân,,"[{'room_type': 'Phòng đôi Superior', 'room_size': 'Tối đa 2 người', 'price_per_night': '303.030 ₫'}, {'room_type': 'Phòng đôi Deluxe, Quang cảnh hồ', 'room_size': 'Tối đa 2 người', 'price_per_night': '346.320 ₫'}, {'room_type': 'Phòng 4 Tiêu chuẩn', 'room_size': 'Tối đa 4 người', 'price_per_night': '519.481 ₫'}, {'room_type': 'Phòng 4 Tiêu chuẩn, Quang cảnh hồ', 'room_size': 'Tối đa 4 người', 'price_per_night': '562.771 ₫'}, {'room_type': 'Phòng dành cho gia đình', 'room_size': 'Tối đa 6 người', 'price_per_night': '735.931 ₫'}]",3 sao
"138 Bùi Thị Xuân, P.2, Đà Lạt, Lâm Đồng, VNM","20 khu phòng không khói thuốc,Quầy tiếp tân phục vụ 24 giờ/ngày,Dịch vụ dọn phòng hàng ngày,Két an toàn ở quầy tiếp tân,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Nhân viên khiêng hành lý/hỗ trợ khách,TV ở khu vực chung,Tủ khóa,Wifi miễn phí và đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/36000000/35120000/35119300/35119265/b1d57f0f_b.jpg,,https://vi.hotels.com/ho1124816480/?pa=5&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,AN Boutique Hotel,,"[{'room_type': 'Phòng đôi Superior', 'room_size': 'Tối đa 3 người', 'price_per_night': '337.663 ₫'}, {'room_type': 'Phòng 4 dành cho gia đình, Quang cảnh thành phố', 'room_size': 'Tối đa 6 người', 'price_per_night': '571.429 ₫'}]","2,5 sao"
"16 Lý Nam Đế, P.8, Đà Lạt, Lâm Đồng, VNM","5 khu phòng không khói thuốc,Phục vụ bữa sáng,Dịch vụ đón khách từ sân bay,Máy giặt tự động,Nhân viên thông thạo nhiều ngôn ngữ,Dịch vụ hỗ trợ tour/vé du lịch,Wifi miễn phí và đậu xe miễn phí",Hotels.com,https://exp.cdn-hotels.com/hotels/36000000/35130000/35126700/35126635/095343b9_b.jpg,,https://vi.hotels.com/ho1125052320/?pa=6&q-check-out=2019-05-10&tab=description&q-room-0-adults=2&YGF=2&q-check-in=2019-05-09&MGT=1&WOE=5&WOD=4&ZSX=0&SYE=3&q-room-0-children=0,Peace Homestay,,"[{'room_type': 'Phòng đôi', 'room_size': 'Tối đa 2 người', 'price_per_night': '303.030 ₫'}, {'room_type': 'Phòng 3 Tiêu chuẩn, 3 phòng ngủ, Phòng tắm dùng chung, Tầng trệt', 'room_size': 'Tối đa 6 người', 'price_per_night': '606.061 ₫'}]","2,5 sao"
