address,benefits,destination,image_urls,images,link,name,rating,rooms,star
"107/16 Trương Định, phường 6, Quận 3, Hồ Chí Minh","Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Giữ hành lý,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Lễ tân 24/24,Đưa đón sân bay",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/6/etc1525322454_khach_san_hoang_lan.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/6/etc1525322454_khach_san_hoang_lan.jpg', 'path': 'full/f570d87eb3ad9a5ca7d9b5773f285686f3f450d0.jpg', 'checksum': '280161827e46360b63eb0ba6b567f744'}]",https://mytour.vn/14886-khach-san-hoang-lan.html,Khách sạn Hoàng Lan,0,,star-1
"253 Nguyễn Văn Trỗi, Phú Nhuận, Hồ Chí Minh","Hồ bơi ngoài trời,Cửa hàng lưu niệm,Quán cafe,Massage,Sòng bài,Phòng gia đình,Internet có dây,Taxi/Cho thuê xe hơi,Đặt vé xe/máy bay,Tiện nghi cho người khuyết tật,Khu vực hút thuốc,Dịch vụ trông trẻ,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/1/wrm1540373279_khach_san_eastin_grand_sai_gon.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/1/wrm1540373279_khach_san_eastin_grand_sai_gon.jpg', 'path': 'full/95ffd123a0ff2f663403896c54a5d132b7672e12.jpg', 'checksum': '3fcf7fd13adc5abf739004a39afad6cb'}]",https://mytour.vn/141-khach-san-eastin-grand-sai-gon.html,Khách Sạn Eastin Grand Sài Gòn,8.3,,star-5
"60 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh","Truyền hình cáp/vệ tinh,Internet có dây,Taxi/Cho thuê xe hơi,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Lễ tân 24/24,Đưa đón sân bay",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/12/ruf1429082430_golden-star-hotel.JPG","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/12/ruf1429082430_golden-star-hotel.JPG', 'path': 'full/5fbac7570d9e36e40b2aa3fbd8d8024889886c99.jpg', 'checksum': '1b424d82ec2d3e3eef2387b1e28e5282'}]",https://mytour.vn/11872-golden-star-hotel.html,Golden Star Hotel,7.8,"[{'room_type': 'Superior ( Double room )', 'price_per_night': '679,000', 'room_size': ['\n                                                                ', '20 m', '\n                                                            ']}, {'room_type': 'Deluxe ( Double room )', 'price_per_night': '814,000', 'room_size': ['\n                                                                ', '25 m', '\n                                                            ']}, {'room_type': 'Executive ( Twin room )', 'price_per_night': '882,000', 'room_size': ['\n                                                                ', '25 m', '\n                                                            ']}, {'room_type': 'Vip', 'price_per_night': '1,376,000', 'room_size': ['\n                                                                ', '35 m', '\n                                                            ']}]",star-2
"37 Thuận  Kiều, phường 12, quận 5, thành phố Hồ Chí Minh","Truyền hình cáp/vệ tinh,Quán cafe,Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Thu đổi ngoại tệ,Giữ hành lý,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/themes/images/pc-listing-default.png","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/themes/images/pc-listing-default.png', 'path': 'full/80a637d08e6051b477559785b4fc2f31cdd883d0.jpg', 'checksum': 'ec497956f5eb4b60d8833b69b4498e7f'}]",https://mytour.vn/15339-golda-hotel.html,Golda Hotel,,,star-3
"12D Cách Mạng Tháng 8, phường Bến Thành, Quận 1, Hồ Chí Minh","Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Giữ hành lý,Thang máy,Wifi miễn phí,Giặt là,Nhà hàng,Lễ tân 24/24",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/3/xk91535530461_cicilia_sai_gon_hotels_spa.png","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/3/xk91535530461_cicilia_sai_gon_hotels_spa.png', 'path': 'full/e4c0729f155968b68b002e6f8328f2803e445cb0.jpg', 'checksum': '51886c1d0752d7aa08d6058f9bfec2d8'}]",https://mytour.vn/15243-cicilia-sai-gon-hotels-spa.html,Cicilia Sài Gòn Hotels & Spa,,,star-4
"145-147 Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh","Truyền hình cáp/vệ tinh,Quán cafe,Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Thu đổi ngoại tệ,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/4/n1l1528185844_khach_san_ha_hien_1.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/4/n1l1528185844_khach_san_ha_hien_1.jpg', 'path': 'full/a5f9c28d397d7c81b3bf4ef34373bbe4802f1711.jpg', 'checksum': '4696be525c01773fa489852575593387'}]",https://mytour.vn/3004-khach-san-ha-hien-signature.html,Khách Sạn Hà Hiển Signature,8,"[{'room_type': 'Superior No Window', 'price_per_night': '858,000', 'room_size': ['\n                                                                ', '20 m', '\n                                                            ']}, {'room_type': 'Deluxe Double/Twin', 'price_per_night': '975,000', 'room_size': ['\n                                                                ', '22 m', '\n                                                            ']}, {'room_type': 'Deluxe Triple', 'price_per_night': '1,392,000', 'room_size': ['\n                                                                ', '30 m', '\n                                                            ']}, {'room_type': 'Junior Suite', 'price_per_night': '1,392,000', 'room_size': ['\n                                                                ', '32 m', '\n                                                            ']}, {'room_type': 'Family Room', 'price_per_night': '1,740,000', 'room_size': ['\n                                                                ', '30 m', '\n                                                            ']}]",star-3
"242 Trần Bình Trọng, Quận 5, Hồ Chí Minh","Hồ bơi ngoài trời,Truyền hình cáp/vệ tinh,Quán cafe,Massage,Spa,Phòng gia đình,Internet có dây,Taxi/Cho thuê xe hơi,Phòng xông hơi ướt,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/4/4ul1540370946_khach_san_equatorial.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/4/4ul1540370946_khach_san_equatorial.jpg', 'path': 'full/edb64f6995cfd2cf6765558edeed53e872e68b5a.jpg', 'checksum': 'da4bc1b4ba35f8f51822a76d61d7bcdf'}]",https://mytour.vn/124-khach-san-equatorial.html,Khách Sạn Equatorial,8.4,"[{'room_type': 'Deluxe', 'price_per_night': '1,861,000', 'room_size': ['\n                                                                ', '32 m', '\n                                                            ']}, {'room_type': 'Premier Twin/king', 'price_per_night': '2,550,000', 'room_size': ['\n                                                                ', '38 m', '\n                                                            ']}]",star-5
"17 Đại lộ Lê Duẩn, Quận 1, Hồ Chí Minh","Hồ bơi ngoài trời,Cửa hàng lưu niệm,Phòng hội thảo,Truyền hình cáp/vệ tinh,Quán cafe,Massage,Spa,Internet có dây,Taxi/Cho thuê xe hơi,Phòng xông hơi ướt,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Tiện nghi cho người khuyết tật,Dịch vụ trông trẻ,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/14/kks1425434039_khach-san-sofitel-saigon-plaza.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/14/kks1425434039_khach-san-sofitel-saigon-plaza.jpg', 'path': 'full/8e476a73b752258cd6acb1789c27c7c71fee4548.jpg', 'checksum': '63fe72b1ce4bfd9f4b342a9ce58cd740'}]",https://mytour.vn/54-khach-san-sofitel-saigon-plaza.html,Khách Sạn Sofitel Saigon Plaza,8.4,,star-5
"88 Đường Đồng Khởi, Quận 1, Hồ Chí Minh","Hồ bơi ngoài trời,Cửa hàng lưu niệm,Phòng hội thảo,Salon,Trung tâm thương mại,Truyền hình cáp/vệ tinh,Quán cafe,Massage,Spa,Tắm nước nóng,Internet có dây,Taxi/Cho thuê xe hơi,Phòng xông hơi ướt,Hồ bơi trong nhà,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Tiện nghi cho người khuyết tật,Cửa hàng mua sắm,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/16/ufm1540379333_khach_san_sheraton_sai_gon.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/16/ufm1540379333_khach_san_sheraton_sai_gon.jpg', 'path': 'full/1046f025c175b48b56c03d97754e002a82969608.jpg', 'checksum': 'e6925712270cbc617e77239cb3cd5ac3'}]",https://mytour.vn/216-khach-san-sheraton-sai-gon.html,Khách Sạn Sheraton Sài Gòn,8.6,,star-5
"18 An Dương Vương, Quận 5, Hồ Chí Minh","Hồ bơi ngoài trời,Cửa hàng lưu niệm,Phòng hội thảo,Trung tâm thương mại,Quán cafe,Internet có dây,Cửa hàng mua sắm,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Nhà hàng",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/1/1zc1519804941_windsor_plaza_hotel.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/1/1zc1519804941_windsor_plaza_hotel.jpg', 'path': 'full/5a3c9c3747d7cb6840f79d1a43d096654cafcc49.jpg', 'checksum': 'f00a3cb06942e5ea078f35d86f68a688'}]",https://mytour.vn/221-windsor-plaza-hotel.html,Windsor Plaza Hotel,8.3,,star-5
